gbifID;species;countryCode;decimalLatitude;decimalLongitude
3058802805;Lontra longicaudis;MX;15.251344;-92.834744
3053258709;Lontra longicaudis;PY;;
3046441243;Lontra longicaudis;CO;6.155149;-75.373708
3046441241;Lontra longicaudis;CO;4.790352;-71.339167
3046440759;Lontra longicaudis;CO;;
3046440566;Lontra longicaudis;CO;;
3046440303;Lontra longicaudis;;;
3046439790;Lontra longicaudis;CO;;
3044954477;Lontra longicaudis;CR;10.58894;-83.489149
3044842413;Lontra longicaudis;MX;22.138401;-103.554025
3044794262;Lontra longicaudis;AR;-31.560358;-60.459047
3044755903;Lontra longicaudis;CR;9.056936;-83.778762
3044737629;Lontra longicaudis;CR;10.609191;-84.988699
3044668001;Lontra longicaudis;MX;20.915607;-97.336973
3044662144;Lontra longicaudis;BR;-23.56986;-47.738286
3039236965;Lontra longicaudis;PE;-4.962101;-80.607514
3039128890;Lontra longicaudis;PY;-24.482062;-58.060227
3032154070;Lontra longicaudis;MX;18.011328;-96.426171
3032029403;Lontra longicaudis;MX;17.782768;-92.138003
3031955537;Lontra longicaudis;MX;19.141135;-96.103966
3031822982;Lontra longicaudis;BO;-13.626826;-66.162633
3025948199;Lontra longicaudis;;;
3025925563;Lontra longicaudis;;;
3024386158;Lontra longicaudis;;;
3024380149;Lontra longicaudis;;;
3019065715;Lontra longicaudis;CO;10.685622;-75.093077
3018056746;Lontra longicaudis;CO;11.002428;-74.606298
3014067403;Lontra longicaudis;EC;0.015311;-78.917187
3014061255;Lontra longicaudis;CO;6.063119;-74.726366
3013938051;Lontra longicaudis;UY;-34.712401;-55.494603
3013406997;Lontra longicaudis;BR;-21.72;-48.099722
3013406794;Lontra longicaudis;BR;-23.96;-46.33
3013406323;Lontra longicaudis;BR;;
3008513698;Lontra longicaudis;BR;-17.191792;-56.925466
3008387115;Lontra longicaudis;CR;8.538615;-83.353467
2999160983;Lontra longicaudis;CR;10.595642;-85.072717
2992852101;Lontra longicaudis;MX;22.127342;-103.651159
2992707912;Lontra longicaudis;CR;9.314497;-83.766347
2992674085;Lontra longicaudis;MX;16.965358;-100.303705
2988668311;Lontra longicaudis;CO;6.896627;-75.58325
2988607093;Lontra longicaudis;CO;2.095315;-75.797274
2988605134;Lontra longicaudis;CO;2.040502;-75.691813
2988592358;Lontra longicaudis;AR;-31.580832;-60.412021
